,Date,Open,High,Low,Close,Volume
69,2024-03-23,63814.56,66029.09,63013.19,63998.86,7395.08
70,2024-03-22,65478.98,66651.10,62258.36,63814.56,17807.66
71,2024-03-21,67855.88,68234.56,64525.00,65484.70,18523.96
72,2024-03-20,61902.57,68150.00,60771.14,67858.80,38590.78
73,2024-03-19,67609.39,68136.39,61506.00,61906.27,40111.98
74,2024-03-18,68354.29,68933.71,66562.65,67613.04,20057.38
75,2024-03-17,65254.22,68877.82,64505.00,68343.64,12631.85
76,2024-03-16,69514.87,70050.00,64774.05,65254.22,16532.83
77,2024-03-15,71364.58,72414.96,65565.70,69506.88,40195.84
78,2024-03-14,73135.04,73835.57,68454.47,71364.58,34226.60
79,2024-03-13,71473.43,73709.99,71337.30,73135.04,21455.92
80,2024-03-12,72110.98,73027.63,68603.00,71475.93,29420.19
81,2024-03-11,69032.80,72943.98,67112.21,72110.98,32332.73
82,2024-03-10,68480.01,70000.00,68221.13,69032.12,12163.06
83,2024-03-09,68289.16,68700.41,68047.62,68480.00,9005.51
84,2024-03-08,66938.21,70199.00,66157.09,68289.16,33749.53
85,2024-03-07,66115.48,68098.09,65599.63,66938.21,22228.37
86,2024-03-06,63802.15,67654.06,62832.39,66122.28,34655.99
87,2024-03-05,68356.70,69324.58,59224.68,63800.78,65575.10
88,2024-03-04,63155.74,68602.98,62300.00,68360.14,40600.37
89,2024-03-03,62045.78,63260.00,61388.00,63154.49,7314.18
